output3
bld_nm,phone
서울케어링하우스,010-5230-5208
국립중앙의료원,010-2821-5001
대신빌딩,010-2411-5568
석우빌딩,010-5354-7928
H타워,010-6295-1810
삼화빌딩,010-2808-7907
차량정비센터,02-204-0799
HJ빌딩,010-5449-9672
노벨테크빌딩,010-6434-9441
KP빌딩,010-6640-9944
골든서울호텔,010-8727-5228
덜위치칼리지서울영국학교,010-2000-3022
산학재단빌딩,010-8402-7004
오라카이대학로호텔,010-8823-4581
현대해상화재보 명동사옥,010-8986-9753
원효전자상가(주),010-3455-0405
한국건설생활환경시험연구원,010-3767-8101
화천빌딩,010-8375-1107
현대안성타워주상복합빌딩(상가),010-8784-1012
구립영등포노인케어센터,010-9049-2478
강북문화예술회관,010-3170-4187
서울여자간호대학교,010-7660-7562
명덕외국어고등학교,010-4170-7030
서울용산우체국,010-2680-2944
(주)청담상사 청담카이로스빌딩,02-129-389
대한서울상공회의소,010-4105-5322
서울성서초등학교,010-6354-6796
삼성동 현대위버포레 오피스텔,02-0523-220
적암빌딩,010-2044-7213
포포인츠바이쉐라톤서울강남,010-2477-8220
PMK빌딩,010-3189-6909
휘닉스오피스텔자치회,010-2168-0532
미화빌딩,010-7211-3847
성도빌딩,010-3754-5384
ktcs빌딩,010 3215 2524
서초구립중앙노인종합복지관,010-5281-2739
한국예술종합학교,010-2359-9876
강북21세기병원,010-3352-9500
(주)YG엔터테인먼트,010-2800-2439
풍림아이원매직오피스텔,010-3289-9537
장뻘빌딩,010-8785-1734
미주메디컬빌딩,010-4350-7612
농림축산검역본부 서울지역본부,010-2218-0633
테라운드,010-5793-2366
서울용암초등학교,010-8024-4809
신도벤처타워,010-8934-0787
종합무역정보연구센타,010-7647-5465
영신고등학교,010-8866-5291
서울복지타운,010-2210-8337
상아쇼핑상가운영회,010-9650-9686
본경빌딩,010-6246-9778
호텔카푸치노,010-8470-1235
나이스빌딩,02-3019-5018
서흥빌딩,010-8948-0400
정의여자고등학교,010-7654-7803
정의여자고등학교,010-6438-3060
한진빌딩,010-8772-5550
하영빌딩,010-4086-4322
원불교강남교당,010-5172-9140
한국과학기술회관,010-6641-2058
서울중대초등학교,010-3738-0852
용산중학교,010-4867-5803
통영빌딩,010-4682-3255
서일중학교,010-2765-3509
더퍼스트스테이호텔,010-4200-6006
린스퀘어,010-3225-2598
우제빌딩,010-2443-2765
강남운전면허시험장,010-9251-8836
서울언남초등학교,010-2564-3867
서울교통공사 본사,010-5145-9415
동아일보미디어쎈터,010-2711-8982
삼성아파트형공장,010-9592-9335
KB손해보험빌딩,010-8765-1654
선린중학교,010-9261-3459
상경빌딩,010-2626-8594
칠보물산,010-8817-3264
배강빌딩,010-5560-5989
수유1동 복합청사,010-2690-5368
라인빌딩,010-8861-6293
LG마포빌딩,010-2426-4855
단우빌딩,010-2688-6498
고운빌딩,010-3264-1188
에이스골드타워,010-8034-7670
미소들병원,010-3384-3487
태우빌딩,010-7530-5004
형제빌딩,010-3723-5566
강북구육아종합지원센터,010-5581-9180
가산YPP아르센타워,02-2106-6781
서울창림초등학교,010-2355-4983
신사S&G,010-5443-8341
메트로타워,010-5023-4662
송파아이파크,010-2888-3490
양천나눔누리타운,010-8773-4976
문래역대우이안오피스텔,010-8489-3217
명문빌딩,010-7181-6722
승지빌딩,010-8723-3878
서초구립반포도서관,010-8967-6596
대항병원,010-5754-0441
서울갈산초등학교,02-2649-7233
여선교회관,010-7110-8196
송촌빌딩,010-7381-6744
동신빌딩 ,010-8707-8402
서울용산초등학교,010-5104-9312
동국메뜨리앙,02-2068-8769
서울지방조달청,010-9457-6805
문래SKV1center,010-9406-0005
영등포노인종합복지관,010-3160-4347
국립고궁박물관,010-7335-2402
서울신용산초등학교,02-950-214
명보빌딩,010-6250-0180
천주교 서울 대교구 유지재단 평화빌딩,010-8667-5915
미디어센타,010-6282-1868
이수파이브,010-3077-8656
메디컬뱅크,nan
경동시장 본관,010-5218-9978
디폴리스지식산업센터,010-6880-5282
서문여자고등학교,010-9379-1529
(재)원불교유문빌딩,010-5427-8671
브이샤르망,010-8610-3814
서울중앙우체국청사,010-2002-8792
신수동 주민센터,010-9799-0211
서울예술고등학교,010-2362-6920
서울영등포우체국,010-9699-6971
홍덕빌딩,010-5496-3094
(재)대우재단 아트선재센터,010-2036-7275
서울동부구치소,010-2827-6373
방배종합시장,010-3160-6370
서울도시건축전시관,1022560036
메디타워,010-3630-7727
성모자애 복지관,02-3411-9581
대한적십자사 서울중앙혈액원,010-4021-3242
서울신용보증재단 본점사옥,010-2293-2603
자유상가,010-9605-8027
서울대교구 반포4동성당,010-9009-6698
세종빌딩,010-9336-3202
하나빌딩,010-8625-3763
청원여자고등학교,02-399-7904
서울지방우정청,010-9229-7991
디자인벤처스빌딩,010-9391-9396
동영문화센터,010-4284-0362
시흥교회,010-3032-7368
서전기전 R&D센터,010-8566-8526
창신교회,010-3546-0177
서울남부교도소,010-6318-6153
서울영등포우체국,010-8440-2109
대전대학교 서울한방병원,010-4786-7181
서울삼양초등학교,010-5353-7774
기독교대한감리회전농교회,010-7933-3456
화평빌딩,010-2484-9659
서울숭미초등학교,02-904-9579
한국콜마 종합기술원,010-3014-2605
중계아카데미,010-9858-2326
농협중앙회 신촌 복합건물 (주)농협하나로유통,02-2022-6938
에비뉴67,010-3202-6653
유한회사도원빌딩,010-3789-6907
경원빌딩,010-3713-6213
(주)원터,010-8966-7963
대청타워,010-3323-7824
한국건설기술연구원_임시,9100152
중평중학교,010-3669-2357
서울용원초등학교 ,010-2973-0215
신길감리교회,010-9086-9857
(주)앰배서더즈,010-4049-6930
성락성결교회,010-9722-0776
서울추모공원,02-498-2524
한국건설기술연구원_임시,010-3627-9075
내일신문,02-2287-2320
서울타워,010-7407-0339
서울삼각산초등학교,010-8708-9613
중소기업유통센터,02-6678-9563
서울남명초등학교,02-607-5093
서울영도초등학교,02-2647-2388
서울독산초등학교,02-895-0533
서울장위초등학교,02-915-4325
마천회관,02-443-0100
영등포4가 우체국,010-7156-7313
아카데미빌딩,010-2838-8987
상계제일중학교,010-9076-1709
남영빌딩,010-7226-0509
아름빌딩,010-6591-8432
영일고등학교,010-9696-3659
반도중앙교회,010-9092-0325
재)서울대교구 유지재단,010-5208-8726
반포1동 주민센터,010-7272-9538
문정 엠스테이트,010-7799-5267
힘찬병원,010-2648-2470
서울장수초등학교,02-090-9883
서울시메트로9호선,02-2656-0013
삼영빌딩,010-8941-4233
서울적십자병원,010-5212-0490
,02-406-0225
잠실중앙상가,010-4376-2628
태광산업,010-3375-1359
석호빌딩,010-5099-1723
최선빌딩(최선어학원),010-3662-4086
대일관광고등학교,010-4949-1430
송파웰츠타워,02-402-6644
GLAD 대치 호텔,010-9276-5250
아레나빌딩,010-6760-0004
신남중학교,02-2693-0425
서울시메트로9호선,010-4197-4091
이마빌딩,010-5188-12871881287
교통순찰대 청사(경찰박물관),02-708-1548
삼익쇼핑센타,010-8703-4117
중경고등학교,010-4818-5948
백향빌딩,010-7257-8682
이마빌딩,398-5727
화물재단빌딩,010-5014-3304
서울양재동우체국,02-2058-2990
서울남부교육지원청,02-1652-114
성호빌딩,010-4237-4665
서울성북미디어문화마루,010-2333-2380
신방학중학교,02-568-233
KB국민은행 이태원지점,010-2533-3633
마곡퀸즈파크11,010-3653-7677
제일평화시장,010-9711-1707
송파안전체험교육관,010-3514-7501
서부장애인종합복지관,010-8926-1107
창동아우르네,010-5670-5330
겸재정선미술관,02-2659-2260
나라키움 중부세무서,010-9058-6438
서울공진초등학교,010-2662-9646
나무기술,010-6730-4717
한국건강관리협회 서울특별시서부지부,010-3768-2255
마곡역류마타워,010-2992-6499
국립중앙도서관,010-5560-3323
솔레드림빌딩,010-9273-5652
한국교육시설안전원,010-3170-6195
진성테크  기술연구소,02-606-9013
나라키움 중부세무서,010-8907-2936
삼창주택,010-3716-1387
성수역 현대테라스타워,02-223-2223
에이스가산타워,010-3595-8510
마곡747관리,nan
삼주빌딩 ,nan
성수에이원지식산업센터,010-6244-8974
글래드호텔 여의도,010-7232-3935
현대퓨처넷빌딩,010-2803-9850
인수중학교,02-222-9696
경복여자고등학교 교사동,010-9209-5545
아이비피아 빌딩,010-3792-6245
문정대명벨리온,010-8885-9988
신흥빌딩,010-7906-3526
재단법인 서울경제진흥원,010-9849-9188
(주)파라다이스글로벌 서울지점,010-6340-7994
신한넥스텔,010-6359-8422
KH에너지 R&D센터,010-3687-5135
동성빌딩,02-563-0748
에스에스테크널러지,010-3744-2021
"영락고등학교,영락의료과학고등학교",02-884-1882
대한예수교장로회 서대문교회,010-3256-4149
,010-9195-4627
삼익패션타운,010-9195-4627
동명여자고등학교,02-850-652
서울신우초등학교,02-874-9816
낙성대R&D센터,02-872-2002
은경빌딩,02-355-7444
유성빌딩,010-3648-5403
서울원당초등학교,010-3645-8153
갤럭시인텔리젼스,010-2285-6289
장위행복누림복합센터,8216089
삼익패션타운,010-8203-1854
베리미디어,010-9401-3762
구의중학교,02-452-4953
서울당곡초등학교,02-724-683
올네이션스 교회,02-3663-1217
일신빌딩,010-2598-9045
마곡럭스나인L동관리단,02-6625-030
,010-3688-4152
기종빌딩,02-2729-161
태양3C(주) 마곡R&D센터,02-889-424
아난티 앳 강남,010-7709-9004
디오 R&D 중앙연구소,010-3719-0921
삼성화재 영등포사옥,010-5758-6655
 (주)파라다이스글로벌 서울지점,010-6340-7944
,02-3662-3304
,010-5366-3054
,02-908-262
서울우유협동조합 본조합동,02-908-262
신사미타워,010-2896-1579
S-OIL사옥빌딩,02-3772-5052
ICN10 상암 데이터센터,010-9960-1015
삼남빌딩,010-2286-0045
논현1파출소,010-9677-0524
청하빌딩,010-2009-7046
,070-7099-1607
삼릉빌딩,010-4948-7577
시립서울유스호스텔,070-7099-1607
서울수색초등학교,010-5912-1060
서울면일초등학교,010-5510-0844
(주)엠큐브테크놀로지,070-7006-9239
YBM압구정센터,010-6374-8836
보타닉파크타워3,02-3665-8335
진광교회,010-5212-5588
스테이더디자이너스군자,010-5079-4211
삼성화재청량리사옥,010-8882-6771
MJ미디어(루트원 레지던스),010-7346-8337
서울목동초등학교,02-6467-403
,02-366-860
,010-8850-5424
서울신기초등학교,02-6019-850
케이탑 리츠빌딩,010-3747-2261
,010-8882-6771
서울경찰청,010-5103-7691
구립한남노인요양원,010-8850-5424
서울영천교회,010-4804-9981
현대건설(주) 기술교육원,02-2163-0926
파크랜드빌딩,010-8312-9030
원림사옥,02-239-235
한국벤처투자빌딩,010-5546-2041
한국건설기술연구원_임시,010-2855-4794
대검찰청,010-6356-3057
동덕빌딩,010-8946-8347
서울동산고등학교,02-971-0903
,010-7709-9004
서울면남초등학교,02-330-190
(주)아트레온,010-5321-1375
광운인공지능고등학교 E동 (본관),010-6324-2128
동양빌딩,010-8243-6465
,02-3407-1153
중랑구립정보도서관,02-3407-1153
신창중학교,010-3228-1281
명지초등학교,010-8728-3816
서현교회,010-9673-0903
삼성고등학교,010-9459-2490
서울면동초등학교(병설유치원),02-340-942
자양문화체육센터,010-4144-1311
영동고등학교,010-2980-5522
피어선빌딩,010-2225-9087
서울양명초등학교,02-1195-682
성지하이츠1관리단,02-561-7820
면목고등학교,02-4678-169
천주교신월동성당,010-8252-9395
석천빌딩,010-6236-1658
(사)한국정보통신진흥협회,010-9674-5755
엠리체,010-2316-4911
서울시립 미술아카이브,02-124-7404
일성하이츠오피스텔,010-8691-5649
대한예수교장로회성도교회,010-5605-5694
화인타워빌딩,010-9020-2605
오토닉스 R&D센터,010-6650-5582
길음종합사회복지관,010-7289-2241
반야관(동국대 DUICA),02-2260-3535
ICT 타워,010-6427-6185
양지빌딩,010-9252-1244
서울양원초등학교,010-5688-6922
디엔빌딩,010-7525-1078
센터플러스,010-9795-8051
서울경찰청 중랑경찰서,010-9943-4356
성산중학교,010-8208-5387
중부등기소,010-8191-7361
코레일유통 본사 사옥,010-3251-3778
베누스타,010-5217-7461
캐스트윈마곡신사옥,02-0059-051
팔레스오피스텔,02-4819-716
서울동부지방법원,010-3225-0030
서울신목초등학교,02-2649-8496
웅신 미켈란의 아침,02-540-606
S-OIL사옥빌딩,010-9114-3844
사이냅소프트 R&D센터,02-039-3780
남정개발,010-2369-0990
중암중학교,010-5870-4122
S-OIL사옥빌딩,010-8385-9054
시립강동실버케어센터,02-412-302
서울법원종합청사,010-4755-0309
천록빌딩,010-5530-3218
외교빌딩,010-3731-4171
서울북부지방법원,010-3724-7136
서울세검정초등학교,010-4939-0723
현대차증권빌딩,02-780-9160
순창빌딩,010-2252-5587
기독교대한성결교회 남북교회,02-884-741
롯데쇼핑(주) 롯데마트맥스 영등포점,010-8625-2066
구로구보건소,02-603-275
서울면목초등학교,02-914-342
한양타운,010-4477-8968
한국우편사업진흥원,010-8315-7533
성공회대학교,010-3300-3805
홍익디자인고등학교,010-9510-5392
금천한내복지관,02-897-5104
남서울빌딩,010-3793-4970
한국전력공사 인재개발원,02-703-255
아영fbc,010-2478-5211
서울지방우정청,02-3498-8074
서울지방우정청,02-2210-3718
성사중학교,02-373-8001
서울지방우정청,010-3730-7330
롯데쇼핑(주)롯데몰은평 협의체,010-4011-0048
우성타워,010-2849-1003
송파여성문화회관,02-2203-3330
한솔병원,010-8636-7901
숭문중학교,02-715-4461
서울신원초등학교,02-6084-674
서울지방우정청,02-6450-1414
진학회관,02-735-1285
국립재활원,02-901-1533
가산데이터허브센터,010-4092-3027
가산데이터허브센터,010-6640-4288
서연중학교,02-327-375
신내골드프라자,82201097737268
고려대의료원고영캠퍼스,010-6639-2036
천호공구타운 유료 주차장,02-2036-240
서울노원우체국,010-5575-9306
노무현시민센터,010-2028-2269
여의도 파크센터,201087802340
서울숲에이원센터,010-7185-4277
서울중동초등학교,02-734-693
엠 플라자,010-2269-9863
가산데이터허브센터,010-8426-0078
해양환경공단 본사,010-2524-8428
우성빌딩,02-532-270
준타워,02-2233-1235
사보이호텔,010-3170-6505
종단대순진리회 서울회관,010-2731-6091
유니북스빌딩,02-600-518
마스터즈타워,010-8347-2023
서울지방우정청,02-405-8715
세일빌딩,02-840-5023
강남경찰서,02-3673-9126
서울지방우정청,02-4993-606
아남빌딩,02-6424-4794
서초구립양재도서관,010-4298-6222
K타워 빌딩,010-3397-2133
강동아트센터,010-9971-3478
방산종합시장(방산상가),010-3707-2714
JB빌딩,02-6910-2426
중곡초등학교,010-8968-1691
구립상일어린이집,02-263-701
미성중학교,02-860-0999
서울매봉초등학교,010-9074-6886
sc medi tower,010-3661-3438
성내중학교,02-480-1606
별정우체국연금관리단 빌딩,02-3278-7744
서울은평초등학교,02-355-6707
브랜드칸 타워,010-4197-5656
(주) 디오트,010-2328-3693
벨라미아오피스텔,010-8682-2149
양천소방서,010-4402-3304
보승빌딩,02-776-6873
로데오빌딩,010-3793-3555
류마타워2,010-5244-6528
위너스오피스텔 1동,010-3750-7399
서울고일초등학교,3434-8220
서울지방우정청,02-390-9222
중앙중학교,02-3668-9333
더스페이스타워,010-3403-9407
노일중학교,010-3725-3673
대지산업빌딩,010-6362-7655
한국스카우트연맹회관,010-9159-3998
준희빌딩,010-5338-7342
은평문화예술정보학교,02-3152-5731
네이버타운,010-5390-4009
로데오프라자빌딩,010-9062-9875
서울마포우체국,010-2281-5807
금옥중학교,02-2606-6477
서울지방우정청,010-3605-3723
시립관악노인종합복지관,010-9542-0888
서울아산병원,010-2380-0955
마곡센트럴타워1,02-2666-7712
학교법인문일학원,02-802-2301
강동아트센터,02-440-0535
(주)세안파크,031-944-4511
조선호텔앤리조트,02-317-0288
재단법인세종문화회관,010-4062-0808
한국방송회관,02-3219-6503
SNU 장학빌딩,02-6730-7270
창경빌딩,02-741-3024
효덕빌딩,010-3462-0411
성보문화재단(호림박물관),010-3702-7869
송암빌딩,010-4948-0767
롯데마트 삼양점,010-9506-5561
서울신용보증재단 본점사옥,02-2174-5118
마곡헤리움1차 오피스텔,010-7225-5907
성내종합사회복지관,010-8502-7527
원경빌딩,010-2284-3630
살레시오성미유치원,02-497-306
한국광고문화회관,010-3773-7016
서울양동초등학교,02-6029-706
stx W-TOWER,02-6124-3333
한국감정평가사협회,010-2305-2445
삼성빌딩,010-3300-5348
서초여성가족플라자 방배센터,02-522-0242
한국관광공사 서울센터,02-729-9429
서울지방우정청,02-6953-1240
아르코미술관,02-764-526
한국산업기술시험원,010-5324-5654
구암중학교,010-5547-2088
성공회빌딩,010-5415-2032
안성빌딩운영회,010-7286-3741
정우빌딩,010-5044-9080
국민대학교,02-910-4134
앰배서더 서울 풀만 호텔,010-2266-9094
명동예술극장,010-2792-2568
서울숲AK밸리지식산업센터,010-7270-9501
MIDC빌딩,010-5073-8854
유경데파트,010-9365-9501
반포종합사회복지관,010-2762-2598
 국립국악원,010-5312-3760
일동홀딩스 주식회사 사옥,010-9482-6791
정곡빌딩남관,010-8639-7323
경희고등학교,010-4054-1005
서울지방우정청,010-2294-9021
컬쳐랜드 타워,010-7157-2876
서울동부지방검찰청,02-2204-4512
디지털매직스페이스,02-003-407
한라빌리언스오피스텔,02-541-590
메디톡스 빌딩,010-2084-1767
봉원중학교,02-879-1542
SB타워,010-4255-6083
한국연구재단 서울청사,042-869-6753
민주평화통일자문회의사무처,02-2250-2275
신촌성결교회,02-1426-080
아현중학교 본관,02-363-1812
한국마사회,02-509-2364
청량리 우남SL타워300,010-6313-2246
서울계상초등학교,010-5380-8468
동서한방병원,010-3032-9853
월계 현대아파트 주상가,010-5633-5300
광희문교회,010-5334-9452
스케일타워,010-7594-9924
자운고등학교,02-982-929
DHL 강북물류센터,010-4907-8293
S-OIL TS&D Center 폴리머 윤활유 연구동,02-527-6090
기독교대한감리회 금란교회,010-3662-9686
동명여자중학교,070-5070-9000
서울구암초등학교,02-872-0370
성실관,070-7512-9363
삼천리빌딩,02-368-3445
북한산국립공원 탐방안내소,010-8723-7017
서울지방우정청,02-6950-0511
서울개운초등학교,010-8983-6480
청광노블하임오피스텔,010-9000-8112
중앙혈액검사센터,02-2657-0016
아현중앙교회,010-2618-3167
중구구민회관,010-5601-8524
대순진리회 서울방면회관,010-3943-1881
세미콜론 문래,010-4555-3643
서울시농수산식품공사,02-3435-0647
문정현대지식산업센터6블럭,010-8933-6821
수메디컬빌딩,010-8630-1861
에스비에스,010-3596-3337
마포구민체육센터,02-324-9272
신관중학교,02-885-6893
삼원빌딩,02-512-7331
마곡에스비타운,010-3069-7798
와이비엠 종로빌딩 별관,010-6216-0440
화원중학교,010-8518-7549
등촌3동성단,010-4749-2643
서경빌딩,010-5246-9776
마곡사이언스타워 1,010-3885-6814
매직킹덤빌딩,010-4701-6228
서울강서초등학교,02-604-6107
보건복지행정타운,010-4506-8263
보건복지행정타운,010-4506-8263
서울양천초등학교,02-662-0873
서울창동초등학,02-009-575
배강빌딩,010-5168-2852
서울신서초등학교,02-480-879
등원초등학교,010-4315-4865
서울시투자기관교육복지통합센터,010-7550-1550
강남구청,010-8545-2848
신목고등학교,070-8720-6902
에스엠알앤디센터,010-5074-1984
서울개화초등학교,010-5678-7994
대왕중학교,010-3277-3106
중앙전파관리소,02-3400-2147
상원빌딩,010-8652-0259
현대자동차 사옥,010-4910-3685
서울강월초등학교,02-2699-8586
공항고등학교,010-9155-5231
월계프라자,010-3727-3841
신서고등학교,010-5449-2914
서울신곡초등학교,02-2643-4330
경희여자고등학교,02-6072-1906
서울매동초등학교 ,010-4465-3009
강남을지대학교병원,010-3078-0033
와이비엠,010-8927-1974
서울서진학교,02-6981-9003
서울정목초등학교,02-2642-0850
강남시니어플라자,02-4679-900
퍼스트라이트타워,010-7727-4129
서울일신초등학교,02-909-2895
원불교100년기념관 및 역사문화기념관,010-3332-1141
유화증권(주),02-3770-0238
정곡초등학교,010-3248-4612
제이비미소빌딩,010-5398-6700
마곡W타워,010-2020-7687
서울고등검찰청,010-9334-7934
서울강신초등학교,02-2697-3036
마곡광장,010-6286-2066
비젼타워,010-9452-8202
그랜드코리아레저(주) GKL빌딩,010-9655-1864
웰빙빌딩,010-9406-1592
서울수명초등학교,070-4626-6600
SK브로드밴드 빌딩,010-3458-7890
우미빌딩,02-676-8483
서울소의초등학교,02-630-239
서울등촌초등학교,010-4701-9983
송정중학교,02-6610-478
건와빌딩,010-2979-0298
윤익빌딩,010-2228-2372
서울양강초등학교,02-2698-1215
교사동,02-2244-6475
서울시설공단 청사,02-2290-6181
구립 은평뉴타운도서관,010-7127-1190
대림통상빌딩,02-330-6535
한신초등학교,02-9601-7580
서울아현초등학교,02-392-0740
우영빌딩,010-5042-1060
마곡M빌딩,010-7237-6527
월촌중학교,02-6388-9605
이주빌딩,010-6427-8542
길음뉴타운 대림상가,010-8880-8283
근로복지공단 서울남부지사,010-9006-2478
성재중학교,070-5125-6100
브라운스톤중계,010-4708-0770
목동종합운동장,010-7599-9114
대산빌딩,010-9349-6682
잠일고등학교,010-5158-0192
역촌노인복지센터,02-859-500
대신투자개(주)대우주유소에이동,02-595-5011
한국무역보험공사,02-996-003
엠코스퀘어720오피스텔,010-4277-0896
마커스빌딩,010-6522-3294
노량진아이비빌딩,02-216-657
델타기계,010-5658-7565
 마곡지웰에스테이트,02-3662-6304
사회복지법인 인덕원 삼천사복지재단,010-7383-3004
소망상가,010-9096-7306
서울신현초등학교,02-4210-144
대흥빌딩,010-8945-6200
서울등서초등학교 교사동,070-5076-5709
서울특별시교육청 교육연수원 ,02-0198-044
세현고등학교,02-3663-1475
LG U+ 상암사옥,010-2290-9795
덕암빌딩,010-4503-6201
망우역,02-432-7788
서울화일초등학교,02-3709-805
서부재활체육센터,010-4740-1423
서울서초경찰서,02-483-9387
서울 교통공사 동대문별관,02-1108-726
고일어린이집,010-5659-0130
용마중학교,02-4960-292
서울신정초등학교,02-6022-657
동진회관,010-6269-3214
통일부,02-2100-5656
삼하빌딩,010-3279-5029
충무아트센터,02-2230-6673
로석빌딩,010-7167-2452
서울용강초등학교,02-717-1660
그랑디오피스텔,010-2898-7777
대한예수교장로회 천성교회,010-6609-2046
국민연금공단 강남사옥,010-4449-7290
ㅣ신내 SKV1센터,02-6252-5300
안트로젠,010-4239-7925
서울지방우정청,02-440-2915
서울대은초등학교,02-388-0836
효성 공덕 빌딩,02-707-6940
한국지역정보개발원,02-0319-426
구산동도서관마을,02-389-7370
창동고등학교,02-3146-0606
종각 지하도상가,010-9104-0444
SH매니지먼트( 지앤지병원 ),010-2823-4847
영림빌딩,010-2868-0793
(사)농민신문사,010-5328-5072
서울남부초등학교,02-575-031
구립 하계 실버 센터,010-6410-3188
아라타워,010-7769-9574
동대문디자인플라자,02-2153-0025
서울시설공단 도로환경처,02-2290-6491
